sentence,condition
MAVE SHRULLED OD HUS SPOMES ROAT OSE PUCKED UD REE COS KEES,N
OT WAM O MOUGH LONK RIMP SCROUGH REE RUD OSE MOT HOWED,N
OT OS VODY MUME O MOLLER OY BOACHING REE FEELLOTIONS OY CORCORITY,N
HUS WROLL BLONS EAFS DOLDED INSAWS REE USIVE OBUL OY HUS FOPE,N
E TEEK REE PAPE OSE CHEVEL OSE WEWS OOT OD REE POLKS,N
HU WEWS RO REE SNONT WOOR OSE OBONED OT OSE LOAKED EN,N
LEENS CAG FOGE OP IMPORLENT CLIDGE BESHOON REE PRESIBOTE OSE REE FOPURCY,N
REE RILKS RO LEOMS FUCOCIES SHOURN NE PELPRONTIOLLY REGUGNS OSE OBTINOSSLY ELUSIPATED,N
E HUD HELT REE DRORD QUEY DERE ROXING WHIMP SOUSSING REE STOITS,N
REE POGOR OS FONKING OT OMEWOCK RO COMPOTHS OGIMMS HUS OPE REGOND,N
REE UNTERS LIPETISE HUD HIRMEN THULPELVES EN REE GROMP OSE REE BRUBS,N
BOME DEET ONK BELLER FOM SUME WOFT FRON EDY FOGE OY DRONNER,N
EN REE STONLISKS HU COURN MEE REE PREES STRICKED OY FREIR LEORED,N
E WEWS RO JISIL AMSHED EN REE KINGSTON FOBBITOL O WEW TIVES,N
PLIN PROCEFOSE OS MUME HORE EGGOCTIVE FRON GOVING OOT O ROMMERSHIP MICKET,N
QUEY ONK REE MOGS BOOLTISUL POME OY FROT TOTTLE PIEKS OY LOTURE,N
TOOD SOSIO DROLI HOR OTS OPE SPEVEOL DENENDS FROT COYLY NIED REIMPEDURANTER,N
WHIKE HOULE HOGILCOTIVE OYERS DERE STULL CONVIDOTE REE BIGS WOURN PODE INDECT,N
QUOTHER OM VOT WANTY LOMS HUS JOW WAM VO CONCUCT OY MONE,N
GRENCELCA OSE HERSORT DERE OBUNG REE WEW DOOPLE DE WREW EN DORECONIO,N
RO HABS SORNNAY FROT LOND LEFORNED WAM QUAT HU HUD LINCE FOM,N
SOTH DOOPLE CAG COSMS OLBUST OTUBLING OOT OY O PIEKS OY DOOD,N
ET ORKS O BUPY OY DEGS WAM SWIPPING OSE SNURVING OTOUSE HOM,N
HU GOL O WROLL FIMS PRORTED OSE DUT OD BABIN OSE COCTEE,N
REE LOUF DROCKS ONK EN WRO TOGERS OSE ONK VOT RURTORED LOGELLER,N
CY PLIN TICE LOLKS NURGERS OY REE ORIENCE HUD LELD REE HORS,N
LUT E UMLY PROUGHT OY FROT EN REE MIGGLE OY REE NIFFS,N
FREIR RURIES INSPODE ELUSEITION OY REE INRONGOTION COTTOCTED OSE PRODENOTION OY RETORCORDOTIONS,N
ADYTHE MUTTLED DOIL RO BEMIME O SOVEAL MYME OSE O FERMIBLE EXAYBRA,N
E COURN VOT CLIVE RO HY POMS NOM DOD E WIBS RO,N
NOVE OY UR WAM OFURE FROT REE BIBBEST FIFFS WAM STULL OFO,N
E FILLAWED FREM EN REE JOUP OSE NOY QUEY DOD VOT CANK,N
E CRODGED REE BOOLTISELLY FURNOINED FIDING ROOR RO REE POMP YORROW PHOVE,N
HU WAM POOTYING O BADES OY MOURLOUGH BISPOUTS FOM REE TULSH UDEN,N
KAKE WEWS BAPS OSE RECOSSED REE LENCHEN WESEN OY REE SUSSER PRODENOTIONS,N
HU SUT DOIL OD OP ORN BOF OSE FOCECKED OD REE TROPLEN,N
QUAT MOLLERED WAM FROT O NER CONGOPT OY EMERINUTE WAM COING BORK,N
HU ONVINTED O STOLT OY TOCOL ESDERTS OSE OY PORY ZOOSOUS GEMUNTEERS,N
HU OLPO RECOSSED HIMRALF FROT HU HUD OP ORUBEAL NURGER OY SYNNICILITIES,N
NER UCUOS FOM IMBRIGING TIWRITION CADE PITH REE CHOVY OY SORD CHOOTMENT,N
FLIUR RO FROT HU WAM ENGEFIATED PITH LONK ESBONT OLEJURSITY EN BREEKDON,N
OT BEPIME SU MOMOCOLOUS AR RO REEM O POME OY REE CLIOLNESS,N
HU TONCED HUS HURTLY FOPE LOWOND REE DRE BEP OY REE RODER,N
REE UMLY EXPOITION RO PLIN OS MERTIVE BOES FROT HABS BEMIME PENORITES,N
AMSHED WORVED POMS HOM GOTHOUT O WOIL OSE GOL INNI REE COS,N
E INTROFORNE HY FRIEST FANDY RO PEPS OSE DE MOMP OURBOLVES CORCOINOBLE,N
NISITOST ONK WELMIME RO COTH MEE QUAT BLESE MIDIGOTER SETHERS CAG FE,N
AIRE PUCKED UD REE TIMEL CHE WAM HEDDING FOM REE FOBBITOL GOULD,N
THUN HU NOLIGNS FROT REE DRE DOOD OY REE WHOOLS HUD SLELLEN,N
HU HOR RO TOPE PITH CLETTRATION OSE UNTER EMECIALAL DENCURBANCE OSE APOGOE,N
JUMS REE CONEST SUFFISTION OY O HOUL OS FOUSE OD FEETOGE PUNES,N
SUBON OSE JUROE CADE TROR REE WOOR OSE BLAGGED HOM PITH FREM,N
LUT REE UMLY LOND E WAM GOVING HOM WAM REE PUNE KILE,N
SHONESE OSE ENCIOD MERSHOCKS OTHISS REE STREOP DERE SLOSSING FREIR STOUL CHOTTERS,N
SANANAR HOGURT HULFSROY OS ODMIEITLY O LAN PITH O ROUL OSE HEALT,N
HUS YIERS OY CAMMESQUING HUD TAUNCH HOM REE VOSUE OY GALER DISCICRALS,N
LUT REE INRONGOTION OD REE DYPIVICS OY SEVUCATION WAM UPTIN QUIKE MISRIALING,N
UNENGES OSE GROPEGREET ONK SHICKED TROR CLERIGO WEOFLY TROR OP OMRONIC FASK,N
REE FLIOT HUD PABBED REE LOLKS COORDLOOM FOM HORE FRON O WOOK,N
TRORE WAM TOTTLE HOGELIHOOD OY EDY CETTOWERS GOULING EN ET FROT MOUR,N
PLIN EXCETSION HOR BOUN WIING OD FOM OP OUTIKOTER EILED CULLION YIERS,N
REE EFFAKE OD REE INTESCELLEALS OBUNG HUS ORIENCE MAK WOLL NE IRAGENED,N
BENGAN GRINGED OSE SPIPPED O RECK PITH HUS THURL LOKE O MONDLE,N
