trial_num	condition	trial_dur	iti_dur	start_time	end_time	stim	display_trial_feedback
0	read	2	0.5	0.0	2.5	envelope    	False
1	read	2	0.5	2.5	5.0	peacock     	False
2	read	2	0.5	5.0	7.5	glove       	False
3	read	2	0.5	7.5	10.0	squirrel    	False
4	read	2	0.5	10.0	12.5	gun         	False
5	read	2	0.5	12.5	15.0	bat         	False
6	read	2	0.5	15.0	17.5	corn        	False
7	read	2	0.5	17.5	20.0	student     	False
8	read	2	0.5	20.0	22.5	well        	False
9	read	2	0.5	22.5	25.0	sailboat    	False
10	read	2	0.5	25.0	27.5	cell        	False
11	read	2	0.5	27.5	30.0	artichoke   	False
