task_name	task_code	task_file	instruction_dur	task_dur	start_time	end_time
reading	read	reading_sentences_02.tsv	5	30	0	35
tongue_movement	tongue	tongue_movement_02.tsv	5	30	35	70
demand_grid	dmgrd	demand_grid_02.tsv	5	30	70	105
finger_sequence	fingseq	finger_sequence_02.tsv	5	30	105	140
auditory_narrative	audnarr	auditory_narrative_02.tsv	5	30	140	175
verb_generation	vrbgen	verb_generation_generate_02.tsv	5	30	175	210
verb_generation	vrbgen	verb_generation_read_02.tsv	5	30	210	245
n_back	nbko	n_back_02.tsv	5	30	245	280
theory_of_mind	tom	theory_of_mind_02.tsv	5	30	280	315
rest	rest	rest_02.tsv	5	30	315	350
action_observation	actobserv	action_observation_02.tsv	5	30	350	385
