run_num	key_left	key_right	correct_side	trial_type	trial_num	hand	condition	grid_size	num_boxes_lit	num_steps	original_sequence	modified_sequence	original_step_1	original_step_2	original_step_3	display_trial_feedback	trial_dur	sequence_dur	question_dur	iti_dur	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	1	2	right	1	0	right	easy	(3, 4)	2	3	[(0, 3), (1, 2), (2, 2), (1, 3), (2, 1), (2, 3)]	[(0, 3), (1, 2), (2, 2), (1, 3), (0, 2), (1, 1)]	[(0, 3), (1, 2)]	[(2, 2), (1, 3)]	[(2, 1), (2, 3)]	True	7	4	3	0.5	0.0	7.5	358.00028545828536	326	0.5100364999379963	1	1.4322386665735394	False
1	1	2	right	1	1	right	easy	(3, 4)	2	3	[(0, 2), (2, 2), (0, 1), (1, 2), (0, 3), (0, 0)]	[(0, 2), (2, 2), (0, 1), (1, 2), (2, 1), (2, 3)]	[(0, 2), (2, 2)]	[(0, 1), (1, 2)]	[(0, 3), (0, 0)]	True	7	4	3	0.5	7.5	15.0	365.5000372081995	333	0.3100240831263363	1	1.260166666470468	False
1	1	2	right	1	2	right	hard	(4, 4)	3	3	[(3, 3), (2, 0), (3, 0), (2, 1), (3, 1), (2, 3), (1, 3), (2, 2), (3, 2)]	[(1, 2), (0, 3), (1, 1), (2, 1), (3, 1), (2, 3), (1, 3), (2, 2), (3, 2)]	[(3, 3), (2, 0), (3, 0)]	[(2, 1), (3, 1), (2, 3)]	[(1, 3), (2, 2), (3, 2)]	True	7	4	3	0.5	15.0	22.5	373.000039833365	340	0.1099015416111797	1	1.3943446250632403	False
1	1	2	left	0	3	right	hard	(4, 4)	3	3	[(2, 1), (0, 3), (0, 1), (0, 2), (1, 1), (1, 3), (2, 0), (1, 2), (1, 0)]	[(0, 0), (2, 3), (3, 0), (0, 2), (1, 1), (1, 3), (2, 0), (1, 2), (1, 0)]	[(2, 1), (0, 3), (0, 1)]	[(0, 2), (1, 1), (1, 3)]	[(2, 0), (1, 2), (1, 0)]	True	7	4	3	0.5	22.5	30.0	380.5000471251551	346	1.009693750180304	2	1.6901502499822527	False
2	1	2	right	1	0	right	easy	(3, 4)	2	3	[(0, 2), (0, 3), (0, 1), (1, 3), (2, 3), (0, 0)]	[(0, 2), (0, 3), (0, 1), (1, 3), (1, 2), (1, 1)]	[(0, 2), (0, 3)]	[(0, 1), (1, 3)]	[(2, 3), (0, 0)]	True	7	4	3	0.5	0.0	7.5	8.000392583431676	8	0.3102445832919329	2	1.0792429998982698	True
2	1	2	right	1	1	right	easy	(3, 4)	2	3	[(2, 0), (1, 0), (2, 1), (1, 1), (0, 0), (1, 2)]	[(2, 0), (1, 0), (2, 1), (1, 1), (0, 1), (2, 2)]	[(2, 0), (1, 0)]	[(2, 1), (1, 1)]	[(0, 0), (1, 2)]	True	7	4	3	0.5	7.5	15.0	15.50003574998118	15	0.1097602918744087	2	1.828347166767344	True
2	1	2	right	1	2	right	hard	(4, 4)	3	3	[(0, 2), (2, 3), (2, 2), (1, 3), (0, 3), (1, 2), (3, 3), (2, 1), (0, 1)]	[(0, 2), (2, 3), (2, 2), (3, 2), (1, 1), (0, 0), (3, 3), (2, 1), (0, 1)]	[(0, 2), (2, 3), (2, 2)]	[(1, 3), (0, 3), (1, 2)]	[(3, 3), (2, 1), (0, 1)]	True	7	4	3	0.5	15.0	22.5	23.00002554175444	21	1.0099572082981467	2	1.2833438336383551	True
2	1	2	left	0	3	right	hard	(4, 4)	3	3	[(0, 2), (2, 3), (2, 0), (0, 1), (1, 2), (2, 1), (1, 3), (2, 2), (0, 3)]	[(1, 1), (3, 2), (0, 0), (0, 1), (1, 2), (2, 1), (1, 3), (2, 2), (0, 3)]	[(0, 2), (2, 3), (2, 0)]	[(0, 1), (1, 2), (2, 1)]	[(1, 3), (2, 2), (0, 3)]	True	7	4	3	0.5	22.5	30.0	30.500026166671887	28	0.8099482501856983	1	1.4546247913967818	True
3	1	2	left	0	0	right	easy	(3, 4)	2	3	[(2, 3), (2, 0), (1, 0), (2, 2), (1, 3), (2, 1)]	[(2, 3), (2, 0), (1, 1), (1, 2), (1, 3), (2, 1)]	[(2, 3), (2, 0)]	[(1, 0), (2, 2)]	[(1, 3), (2, 1)]	True	7	4	3	0.5	0.0	7.5	113.0002739583142	103	0.8062016665935516	2	1.3859057081863284	False
3	1	2	left	0	1	right	easy	(3, 4)	2	3	[(1, 0), (0, 2), (1, 1), (0, 1), (2, 0), (2, 1)]	[(1, 0), (0, 2), (1, 1), (0, 1), (1, 2), (0, 3)]	[(1, 0), (0, 2)]	[(1, 1), (0, 1)]	[(2, 0), (2, 1)]	True	7	4	3	0.5	7.5	15.0	120.50001920829529	110	0.6061407499946654	2	1.3109738749917597	False
