run_num	trial_num	hand	key_yes	key_no	trial_dur	iti_dur	story	question	options	trial_type	condition	story_dur	question_dur	text_height	display_trial_feedback	start_time	end_time	real_start_time	start_ttl	start_ttl_time	response	rt	correct
1	0	right	1	2	14	1	"At Fernhaven Elementary, Christine entered a story competition but didn’t win. Her classmate Jake won first prize.
Sitting with him the next day, Jake said, “The other stories were terrible.”
Christine asked, “Where will you put your trophy?”"	Did Christine’s story win anything?	Yes, No	2	control	10	4	1.25	True	0	15	8.000235041603446	8	0.3099645837210119	1	1.5219027081038805	False
1	1	right	1	2	14	1	"Vicky was at Oliver’s party, talking to him when a neighbor approached. The woman said, “Hello. I’m Maria, what’s your name?”
“I’m Vicky,” she replied.
“Would anyone like a drink?” Oliver asked."	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	15	30	23.00002466654405	21	1.0097459168173373	2	3.192146750167012	True
2	0	right	1	2	14	1	"Tim spilled coffee on the floor at a restaurant. The waiter said, “I’ll get you another cup,” and left.
Tim approached Jack, a customer by the cashier, and asked, “I spilled coffee by my table. Can you mop it up?”"	Did Jack spill the coffee?	Yes, No	2	control	10	4	1.25	True	0	15	253.00021866662428	230	0.0101567085366696	1	2.4768370832316577	False
2	1	right	1	2	14	1	"Helen's husband planned a surprise birthday party. He warned Sarah, ""Don't tell Helen."" While with Helen, Sarah spilled coffee on her dress and said, ""Oh! I was wearing this to your party!"" ""What party?"" Said Helen."	Did anyone say something they shouldn't have said or something awkward?	Yes, No	1	social	10	4	1.25	True	15	30	268.0000331667252	243	0.7098490002099425	2	3.1318809168878943	False
3	0	right	1	2	14	1	"Jim was shopping for a shirt to match his suit. He found the right color but it didn’t fit.
“It’s too small,” he said.
“Not to worry,” the salesman replied. “We’ll have larger sizes next week.”"	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	0	15	253.0002337500919	231	0.0068015835713595	2	2.253710583318025	True
3	1	right	1	2	14	1	"Eleanor, an older lady, tiredly stood waiting 20 minutes for a late bus. When it arrived there were no seats left.
Eleanor greeted her neighbour Paul, speaking about the wait.
A young man stood and said, “Ma’am, would you like my seat?”"	Did Eleanor get on the bus?	Yes, No	1	control	10	4	1.25	True	15	30	268.0000267501455	244	0.7059922500047833	1	1.535719666397199	True
4	0	right	1	2	14	1	"Roger, new at the office, told Andrew, “My wife’s a lawyer.” Moments later, Claire walked into the coffee room, complaining, “Lawyers are so arrogant and greedy.”
Andrew asked Claire to review reports.
“Not now,” she said. “I need coffee.”"	Is Roger married?	Yes, No	1	control	10	4	1.25	True	0	15	218.00026266649363	198	0.2046094164252281	1	1.3191732915583998	True
4	1	right	1	2	14	1	Bob went to the barber for a haircut. “Just take about an inch off,” Bob said. The barber cut the front uneven, so he had to go shorter. “It’s shorter than you wanted,” he said. “Oh well,” Bob replied, “it’ll grow out.”	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	15	30	233.0000198748894	211	0.902950458228588	2	1.0527563749346882	True
5	0	left	4	3	14	1	"John stopped at the petrol station to fill his car. When the cashier ran his card she said ""The machine won't accept it."" ""That's funny,"" John said. ""I'll pay in cash."" He gave her fifty and said, ""I filled up with unleaded."""	Did anyone say something they shouldn't have said or something awkward?	Yes, No	2	social	10	4	1.25	True	0	15	148.0002289165277	135	0.612056375015527	4	3.162004416808486	False
5	1	left	4	3	14	1	"Richard backed his new red Peugeot into his neighbor Ted’s old Volvo, leaving only a scratch above the wheel. He knocked on Ted’s door, saying, “I’m sorry about the scratch.”
Ted looked and said, “Don’t worry. It was an accident.”"	Did Ted buy a new car?	Yes, No	2	control	10	4	1.25	True	15	30	163.00003599980846	149	0.2114439164288342	3	2.734290875028819	True
