video,condition,stimulus_id
nature_01.mov,nature,1
romance_01.mov,romance,1
nature_02.mov,nature,2
romance_02.mov,romance,2
nature_03.mov,nature,3
romance_03.mov,romance,3
nature_04.mov,nature,4
romance_04.mov,romance,4
nature_05.mov,nature,5
romance_05.mov,romance,5
nature_06.mov,nature,6
romance_06.mov,romance,6
nature_07.mov,nature,7
romance_07.mov,romance,7
nature_08.mov,nature,8
romance_08.mov,romance,8
nature_09.mov,nature,9
romance_09.mov,romance,9
nature_10.mov,nature,10
romance_10.mov,romance,10
nature_11.mov,nature,11
romance_11.mov,romance,11
nature_12.mov,nature,12
romance_12.mov,romance,12
nature_13.mov,nature,13
romance_13.mov,romance,13
nature_14.mov,nature,14
romance_14.mov,romance,14
nature_15.mov,nature,15
romance_15.mov,romance,15
nature_16.mov,nature,16
romance_16.mov,romance,16
training_01_romance,practice,practice
training_02_romance,practice,practice
training_03_romance,practice,practice
training_04_romance,practice,practice
training_05_romance,practice,practice
training_06_romance,practice,practice
training_07_romance,practice,practice
training_08_romance,practice,practice
