video,condition,scenario,stimulus_id,duration,width,height
practice_random_1.mp4,practice_random,random,1,19.6,1440,1080
practice_random_2.mp4,practice_random,random,2,19.27,1440,1080
practice_tom_1.mp4,practice_tom,tom,3,22.15,640,480
practice_tom_2.mp4,practice_tom,tom,4,21.79,640,480
tom_surprise_1.mp4,tom,surprise,5,21.87,640,480
random_billiard_1.mp4,random,billiard,6,19,1440,1080
gd_chase_1.mp4,gd,chase,7,20.8,1440,1080
tom_seducing_1.mp4,tom,seducing,8,18.33,1440,1080
random_drifting_2.mp4,random,drifting,9,20.3,1440,1080
gd_leading_1.mp4,gd,leading,10,13.4,1440,1080
tom_seducing_2.mp4,tom,seducing,11,17.67,1440,1080
random_star_1.mp4,random,star,12,19,1440,1080
gd_chase_2.mp4,gd,chase,13,21.57,1440,1080
tom_mocking_1.mp4,tom,mocking,14,18.7,1440,1080
random_star_2.mp4,random,star,15,19.27,1440,1080
gd_fighting_1.mp4,gd,fighting,16,23.13,1440,1080
tom_coaxing_2.mp4,tom,coaxing,17,20.5,1440,1080
random_billiard_2.mp4,random,billiard,18,19.87,1440,1080
gd_dancing_2.mp4,gd,dancing,19,20.6,1436,1080
tom_coaxing_1.mp4,tom,coaxing,20,19,1440,1080
random_drifting_1.mp4,random,drifting,21,19.93,1440,1080
gd_fighting_2.mp4,gd,fighting,22,23.5,1440,1080
tom_surprise_2.mp4,tom,surprise,23,17.79,1440,1080
random_tennis_1.mp4,random,tennis,24,20.03,1440,1080
gd_leading_2.mp4,gd,leading,25,12.9,1440,1080
tom_mocking_2.mp4,tom,mocking,26,20.13,1440,1080
random_tennis_2.mp4,random,tennis,27,20.7,1440,1080
gd_dancing_1.mp4,gd,dancing,28,20.5,1436,1080
