,trial,stim,xpos,ypos,orientation
0,0,0,-2.52,5.85,360
1,0,1,2.5200000000000005,2.5071428571428562,180
2,0,2,2.5200000000000005,-2.507142857142857,270
3,0,3,-2.52,-5.85,360
4,0,4,-0.8399999999999999,5.85,180
5,0,5,2.5200000000000005,4.178571428571429,180
6,0,6,0.8400000000000007,4.178571428571429,270
7,0,7,4.2,-5.85,360
8,1,0,2.5200000000000005,4.178571428571429,90
9,1,1,-4.2,-5.85,180
10,1,2,0.8400000000000007,4.178571428571429,270
11,1,3,-0.8399999999999999,-5.85,360
12,2,0,2.5200000000000005,-0.8357142857142854,360
13,2,1,-2.52,4.178571428571429,180
14,2,2,-2.52,0.8357142857142854,270
15,2,3,0.8400000000000007,4.178571428571429,360
16,2,4,2.5200000000000005,-2.507142857142857,180
17,2,5,4.2,5.85,180
18,2,6,4.2,0.8357142857142854,270
19,2,7,0.8400000000000007,-4.178571428571429,360
20,3,0,-2.52,4.178571428571429,90
21,3,1,4.2,-5.85,180
22,3,2,-2.52,-4.178571428571429,270
23,3,3,2.5200000000000005,-4.178571428571429,360
24,4,0,0.8400000000000007,-5.85,180
25,4,1,-4.2,-5.85,180
26,4,2,4.2,-2.507142857142857,270
27,4,3,-4.2,0.8357142857142854,360
28,4,4,-2.52,-2.507142857142857,270
29,4,5,2.5200000000000005,2.5071428571428562,180
30,4,6,-4.2,-2.507142857142857,270
31,4,7,-0.8399999999999999,-0.8357142857142854,360
32,5,0,0.8400000000000007,4.178571428571429,90
33,5,1,2.5200000000000005,4.178571428571429,180
34,5,2,4.2,4.178571428571429,270
35,5,3,0.8400000000000007,-5.85,360
36,6,0,4.2,2.5071428571428562,90
37,6,1,0.8400000000000007,-0.8357142857142854,180
38,6,2,0.8400000000000007,-4.178571428571429,270
39,6,3,4.2,4.178571428571429,360
40,7,0,2.5200000000000005,0.8357142857142854,90
41,7,1,0.8400000000000007,0.8357142857142854,180
42,7,2,-2.52,-5.85,270
43,7,3,-0.8399999999999999,5.85,360
44,8,0,-4.2,4.178571428571429,270
45,8,1,-4.2,-2.507142857142857,180
46,8,2,-2.52,-5.85,270
47,8,3,0.8400000000000007,5.85,360
48,8,4,-2.52,2.5071428571428562,270
49,8,5,-0.8399999999999999,-5.85,180
50,8,6,0.8400000000000007,-0.8357142857142854,270
51,8,7,4.2,-5.85,360
52,9,0,2.5200000000000005,-5.85,90
53,9,1,0.8400000000000007,-5.85,180
54,9,2,2.5200000000000005,0.8357142857142854,270
55,9,3,-0.8399999999999999,4.178571428571429,360
56,10,0,2.5200000000000005,-2.507142857142857,360
57,10,1,2.5200000000000005,2.5071428571428562,180
58,10,2,0.8400000000000007,-2.507142857142857,270
59,10,3,4.2,4.178571428571429,360
60,10,4,-2.52,4.178571428571429,360
61,10,5,-0.8399999999999999,2.5071428571428562,180
62,10,6,-4.2,-4.178571428571429,270
63,10,7,-0.8399999999999999,-4.178571428571429,360
64,11,0,4.2,0.8357142857142854,360
65,11,1,-2.52,-2.507142857142857,180
66,11,2,4.2,5.85,270
67,11,3,-0.8399999999999999,0.8357142857142854,360
68,11,4,2.5200000000000005,-2.507142857142857,360
69,11,5,2.5200000000000005,0.8357142857142854,180
70,11,6,4.2,-2.507142857142857,270
71,11,7,-4.2,4.178571428571429,360
