,trial,stim,xpos,ypos,orientation
0,0,0,-4.2,-0.8357142857142854,90
1,0,1,-4.2,2.5071428571428562,180
2,0,2,-0.8399999999999999,5.85,270
3,0,3,-2.52,-2.507142857142857,360
4,1,0,4.2,5.85,90
5,1,1,4.2,-2.507142857142857,180
6,1,2,-0.8399999999999999,-0.8357142857142854,270
7,1,3,-0.8399999999999999,-5.85,360
8,2,0,2.5200000000000005,4.178571428571429,90
9,2,1,-2.52,2.5071428571428562,180
10,2,2,-4.2,-2.507142857142857,270
11,2,3,2.5200000000000005,2.5071428571428562,360
12,3,0,4.2,-0.8357142857142854,270
13,3,1,-2.52,-2.507142857142857,180
14,3,2,0.8400000000000007,-0.8357142857142854,270
15,3,3,4.2,-5.85,360
16,3,4,0.8400000000000007,-4.178571428571429,360
17,3,5,2.5200000000000005,-5.85,180
18,3,6,-0.8399999999999999,5.85,270
19,3,7,2.5200000000000005,-2.507142857142857,360
20,4,0,-0.8399999999999999,-4.178571428571429,90
21,4,1,-4.2,-2.507142857142857,180
22,4,2,-4.2,-4.178571428571429,270
23,4,3,-0.8399999999999999,5.85,360
24,5,0,0.8400000000000007,2.5071428571428562,90
25,5,1,-0.8399999999999999,0.8357142857142854,180
26,5,2,0.8400000000000007,-5.85,270
27,5,3,0.8400000000000007,-0.8357142857142854,360
28,6,0,2.5200000000000005,-4.178571428571429,270
29,6,1,-2.52,-2.507142857142857,180
30,6,2,2.5200000000000005,-0.8357142857142854,270
31,6,3,-2.52,-0.8357142857142854,360
32,6,4,-2.52,5.85,180
33,6,5,-2.52,4.178571428571429,180
34,6,6,-4.2,-4.178571428571429,270
35,6,7,4.2,0.8357142857142854,360
36,7,0,-2.52,-5.85,270
37,7,1,2.5200000000000005,-5.85,180
38,7,2,4.2,4.178571428571429,270
39,7,3,-0.8399999999999999,5.85,360
40,7,4,4.2,2.5071428571428562,360
41,7,5,2.5200000000000005,-0.8357142857142854,180
42,7,6,-2.52,-0.8357142857142854,270
43,7,7,0.8400000000000007,0.8357142857142854,360
44,8,0,2.5200000000000005,-4.178571428571429,360
45,8,1,-0.8399999999999999,5.85,180
46,8,2,2.5200000000000005,2.5071428571428562,270
47,8,3,-0.8399999999999999,4.178571428571429,360
48,8,4,4.2,4.178571428571429,360
49,8,5,0.8400000000000007,0.8357142857142854,180
50,8,6,-2.52,-2.507142857142857,270
51,8,7,0.8400000000000007,-4.178571428571429,360
52,9,0,0.8400000000000007,2.5071428571428562,90
53,9,1,4.2,-4.178571428571429,180
54,9,2,2.5200000000000005,-4.178571428571429,270
55,9,3,-2.52,5.85,360
56,10,0,0.8400000000000007,5.85,270
57,10,1,-0.8399999999999999,-4.178571428571429,180
58,10,2,4.2,5.85,270
59,10,3,2.5200000000000005,-5.85,360
60,10,4,4.2,0.8357142857142854,360
61,10,5,-0.8399999999999999,4.178571428571429,180
62,10,6,0.8400000000000007,2.5071428571428562,270
63,10,7,4.2,-4.178571428571429,360
64,11,0,4.2,4.178571428571429,360
65,11,1,2.5200000000000005,-0.8357142857142854,180
66,11,2,0.8400000000000007,2.5071428571428562,270
67,11,3,0.8400000000000007,5.85,360
68,11,4,4.2,-2.507142857142857,270
69,11,5,-2.52,4.178571428571429,180
70,11,6,-0.8399999999999999,0.8357142857142854,270
71,11,7,-2.52,-2.507142857142857,360
