,trial,stim,xpos,ypos,orientation
0,0,0,-4.2,-0.8357142857142854,90
1,0,1,-4.2,2.5071428571428562,180
2,0,2,-0.8399999999999999,5.85,270
3,0,3,-2.52,-2.507142857142857,360
4,1,0,4.2,5.85,90
5,1,1,4.2,-2.507142857142857,180
6,1,2,-0.8399999999999999,-0.8357142857142854,270
7,1,3,-0.8399999999999999,-5.85,360
8,2,0,2.5200000000000005,4.178571428571429,270
9,2,1,-2.52,2.5071428571428562,180
10,2,2,4.2,5.85,270
11,2,3,-4.2,-2.507142857142857,360
12,2,4,2.5200000000000005,2.5071428571428562,360
13,2,5,-2.52,-2.507142857142857,180
14,2,6,0.8400000000000007,-0.8357142857142854,270
15,2,7,4.2,-5.85,360
16,3,0,2.5200000000000005,-5.85,270
17,3,1,-0.8399999999999999,5.85,180
18,3,2,2.5200000000000005,-2.507142857142857,270
19,3,3,0.8400000000000007,0.8357142857142854,360
20,3,4,4.2,5.85,270
21,3,5,-0.8399999999999999,-4.178571428571429,180
22,3,6,-4.2,-2.507142857142857,270
23,3,7,-4.2,-4.178571428571429,360
24,4,0,-0.8399999999999999,0.8357142857142854,90
25,4,1,0.8400000000000007,-5.85,180
26,4,2,0.8400000000000007,-0.8357142857142854,270
27,4,3,2.5200000000000005,-4.178571428571429,360
28,5,0,-2.52,-2.507142857142857,180
29,5,1,2.5200000000000005,-0.8357142857142854,180
30,5,2,-2.52,-0.8357142857142854,270
31,5,3,-2.52,5.85,360
32,5,4,-2.52,4.178571428571429,180
33,5,5,-4.2,-4.178571428571429,180
34,5,6,4.2,2.5071428571428562,270
35,5,7,-0.8399999999999999,0.8357142857142854,360
36,6,0,2.5200000000000005,-5.85,270
37,6,1,4.2,5.85,180
38,6,2,-0.8399999999999999,5.85,270
39,6,3,4.2,4.178571428571429,360
40,6,4,4.2,-0.8357142857142854,360
41,6,5,2.5200000000000005,-0.8357142857142854,180
42,6,6,-2.52,-0.8357142857142854,270
43,6,7,0.8400000000000007,0.8357142857142854,360
44,7,0,2.5200000000000005,-4.178571428571429,90
45,7,1,-0.8399999999999999,5.85,180
46,7,2,2.5200000000000005,2.5071428571428562,270
47,7,3,-0.8399999999999999,4.178571428571429,360
48,8,0,-0.8399999999999999,5.85,90
49,8,1,0.8400000000000007,0.8357142857142854,180
50,8,2,-2.52,-2.507142857142857,270
51,8,3,0.8400000000000007,-4.178571428571429,360
52,9,0,4.2,2.5071428571428562,360
53,9,1,0.8400000000000007,2.5071428571428562,180
54,9,2,4.2,-4.178571428571429,270
55,9,3,2.5200000000000005,-4.178571428571429,360
56,9,4,-2.52,5.85,360
57,9,5,0.8400000000000007,5.85,180
58,9,6,-0.8399999999999999,-4.178571428571429,270
59,9,7,4.2,-2.507142857142857,360
60,10,0,-0.8399999999999999,4.178571428571429,270
61,10,1,4.2,-2.507142857142857,180
62,10,2,0.8400000000000007,2.5071428571428562,270
63,10,3,4.2,2.5071428571428562,360
64,10,4,4.2,5.85,360
65,10,5,2.5200000000000005,0.8357142857142854,180
66,10,6,2.5200000000000005,-0.8357142857142854,270
67,10,7,4.2,0.8357142857142854,360
68,11,0,-2.52,4.178571428571429,90
69,11,1,-0.8399999999999999,0.8357142857142854,180
70,11,2,4.2,0.8357142857142854,270
71,11,3,-2.52,-2.507142857142857,360
