word,session_list
tablespoon  ,1
spider      ,1
camel       ,1
nose        ,1
vest        ,1
hammer      ,1
butterfly   ,1
flower      ,1
rhinoceros  ,1
teacher     ,1
fork        ,1
funeral     ,1
comb        ,1
waterfall   ,1
thimble     ,1
orange      ,1
helicopter  ,1
exam        ,1
watch       ,1
chicken     ,1
toy         ,1
eye         ,1
balloon     ,1
sandwich    ,1
hanger      ,1
jacket      ,1
ocean       ,1
boyfriend   ,1
sponge      ,1
raccoon     ,1
alarm       ,1
sandwich    ,1
toothbrush  ,1
girlfriend  ,1
ground      ,1
poetry      ,1
scissors    ,1
weed        ,1
giraffe     ,1
carrot      ,1
leaf        ,1
trumpet     ,1
key         ,1
violin      ,1
glove       ,1
gun         ,1
lock        ,1
pig         ,1
paintbrush  ,1
lamp        ,1
wrench      ,1
alcohol     ,1
glass       ,1
towel       ,1
fence       ,1
chair       ,1
screw       ,1
plug        ,1
blouse      ,1
barn        ,1
flag        ,1
dress       ,1
book        ,1
shirt       ,1
temple      ,1
hand        ,1
pumpkin     ,1
pen         ,1
pliers      ,1
star        ,1
kettle      ,1
wood        ,1
saw         ,1
student     ,1
string      ,1
leopard     ,1
house       ,1
anchor      ,1
brush       ,1
cup         ,1
duck        ,1
toe         ,1
nail        ,1
mitten      ,1
knife       ,1
necklace    ,1
cherry      ,1
button      ,1
theater     ,1
church      ,1
table       ,1
cat         ,1
eagle       ,1
bus         ,1
pencil      ,1
barrel      ,1
light       ,1
deer        ,1
paper       ,1
bat         ,1
zebra       ,1
apple       ,1
fish        ,1
couch       ,1
beach       ,1
spoon       ,1
shark       ,1
tie         ,1
door        ,1
coat        ,1
eye         ,1
foot        ,1
artichoke   ,1
cigarette   ,1
sea         ,1
lion        ,1
skunk       ,1
soap        ,1
bell        ,1
truck       ,1
guitar      ,1
spool       ,1
cannon      ,1
tomato      ,1
envelope    ,1
cow         ,1
sheep       ,1
bed         ,1
button      ,1
pen         ,1
top         ,1
kangaroo    ,1
dresser     ,1
ear         ,1
ball        ,1
make-up     ,1
