run_num	trial_num	frequency	stim_interval	trial_duration	response_duration	display_trial_feedback	start_time	end_time	n_deviants	deviant_times	deviant_type	deviant_positions	real_start_time	start_ttl	start_ttl_time	response	correct	rt
1	0	1	1.0	13	2	True	0	15	3	4.2;8.2;11.2	late;late;late	5;9;12	5.000836916733533	0	5.000837999978103		0	
1	1	1	1.0	13	2	True	15	30	0				20.00066737504676	0	20.000668499968015	0.0	1	0.6879262916045263
1	0	1	1.0	13	2	True	0	15	0				5.000832541612908	0	5.000833583297208	1.0	0	1.1877864168491217
1	1	1	1.0	13	2	True	15	30	2	19.2;26.2	late;late	5;12	20.000711874919944	0	20.00071287492756	3.0	0	1.2205267082899809
1	0	1	1.0	13	2	True	0	15	1	6.2	late	7.0	5.000874916673638	0	5.000876000034623	2.0	0	1.1571512916125355
1	1	1	1.0	13	2	True	15	30	0				20.000774000072852	0	20.000775083433837	1.0	0	0.9282726667588576
1	0	1	1.0	13	2	True	0	15	0				5.000868499977514	0	5.000869583338499	0.0	1	0.8731262916699052
1	1	1	1.0	13	2	True	15	30	3	19.2;22.2;24.8	late;late;early	5;8;11	20.000707208295353	0	20.000708208302967	3.0	1	1.3930096665862948
1	0	1	1.0	13	2	True	0	15	0				5.000877958373167	0	5.000878958380781	2.0	0	0.7652940832776949
1	1	1	1.0	13	2	True	15	30	2	21.2;24.8	late;early	7;11	20.00076320837252	0	20.000764249940403	3.0	0	1.1012002500938252
1	0	1	1.0	13	2	True	0	15	0				5.000842458335683	0	5.000843416666612	0.0	1	0.7876984584145248
1	1	1	1.0	13	2	True	15	30	2	21.2;24.8	late;early	7;11	20.000744124990888	0	20.000745083321817		0	
1	0	1	1.0	13	2	True	0	15	0				5.000895124976523	0	5.000896124984138	0.0	1	0.7516349166398868
1	1	1	1.0	13	2	True	15	30	2	21.2;24.8	late;early	7;11	20.000809416756965	0	20.000810458441265	2.0	1	1.006221874966286
1	0	1	1.0	13	2	True	0	15	0				5.000856916769408	0	5.000857958453707	0.0	1	0.6782794999890029
1	1	1	1.0	13	2	True	15	30	2	21.2;24.8	late;early	7;11	20.000740791787393	0	20.000741875031963	3.0	0	0.9396549166413024
1	0	1	1.0	13	2	True	0	15	0				5.000892624957487	0	5.000893666641787	0.0	1	1.0208427500911057
1	1	1	1.0	13	2	True	15	30	1	22.2	late	8.0	20.000796625041403	0	20.000797666609287	2.0	0	1.520611874992028
1	0	1	1.0	13	2	True	0	15	0				5.00084520841483	0	5.0008461667457595	1.0	0	0.953393750009127
1	1	1	1.0	13	2	True	15	30	1	22.2	late	8.0	20.0007332918467	0	20.00073420838453	2.0	0	0.8996717083500698
1	0	1	1.0	13	2	True	0	15	0				5.000885958317667	0	5.0008869166485965	0.0	1	0.990543624968268
1	1	1	1.0	13	2	True	15	30	1	22.2	late	8.0	20.00079354166519	0	20.000794583233073	1.0	1	0.7687857082346454
1	0	1	1.0	13	2	True	0	15	0				40.0008177915588	0	40.0008188332431	0.0	1	0.7954226250294596
1	1	1	1.0	13	2	True	15	30	1	22.8	early	9.0	55.00060599995777	0	55.0006069582887	1.0	1	0.9790522082475945
