,trial,stim,xpos,ypos,orientation
0,0,0,0.8400000000000007,-5.85,90
1,0,1,0.8400000000000007,-2.507142857142857,180
2,0,2,-4.2,-2.507142857142857,270
3,0,3,-0.8399999999999999,-5.85,360
4,1,0,2.5200000000000005,-5.85,90
5,1,1,0.8400000000000007,5.85,180
6,1,2,0.8400000000000007,-4.178571428571429,270
7,1,3,-0.8399999999999999,-0.8357142857142854,360
8,2,0,0.8400000000000007,4.178571428571429,90
9,2,1,-0.8399999999999999,4.178571428571429,180
10,2,2,2.5200000000000005,2.5071428571428562,270
11,2,3,-2.52,2.5071428571428562,360
12,3,0,2.5200000000000005,-5.85,360
13,3,1,-2.52,-5.85,180
14,3,2,-0.8399999999999999,-2.507142857142857,270
15,3,3,4.2,4.178571428571429,360
16,3,4,-4.2,4.178571428571429,360
17,3,5,2.5200000000000005,5.85,180
18,3,6,-0.8399999999999999,-5.85,270
19,3,7,2.5200000000000005,-2.507142857142857,360
20,4,0,-2.52,-4.178571428571429,180
21,4,1,-0.8399999999999999,-0.8357142857142854,180
22,4,2,-4.2,4.178571428571429,270
23,4,3,-4.2,0.8357142857142854,360
24,4,4,4.2,-0.8357142857142854,270
25,4,5,-0.8399999999999999,2.5071428571428562,180
26,4,6,0.8400000000000007,4.178571428571429,270
27,4,7,2.5200000000000005,-0.8357142857142854,360
28,5,0,0.8400000000000007,-0.8357142857142854,360
29,5,1,-0.8399999999999999,0.8357142857142854,180
30,5,2,2.5200000000000005,5.85,270
31,5,3,4.2,-5.85,360
32,5,4,-2.52,2.5071428571428562,270
33,5,5,2.5200000000000005,-0.8357142857142854,180
34,5,6,0.8400000000000007,4.178571428571429,270
35,5,7,0.8400000000000007,0.8357142857142854,360
36,6,0,-4.2,-0.8357142857142854,360
37,6,1,2.5200000000000005,-0.8357142857142854,180
38,6,2,-4.2,-5.85,270
39,6,3,-4.2,2.5071428571428562,360
40,6,4,0.8400000000000007,-4.178571428571429,270
41,6,5,4.2,-2.507142857142857,180
42,6,6,4.2,-5.85,270
43,6,7,4.2,2.5071428571428562,360
44,7,0,-0.8399999999999999,2.5071428571428562,90
45,7,1,-2.52,5.85,180
46,7,2,4.2,4.178571428571429,270
47,7,3,-0.8399999999999999,0.8357142857142854,360
48,8,0,4.2,2.5071428571428562,270
49,8,1,-4.2,0.8357142857142854,180
50,8,2,-2.52,0.8357142857142854,270
51,8,3,2.5200000000000005,0.8357142857142854,360
52,8,4,-2.52,4.178571428571429,180
53,8,5,-2.52,5.85,180
54,8,6,-2.52,-4.178571428571429,270
55,8,7,2.5200000000000005,-2.507142857142857,360
56,9,0,-4.2,2.5071428571428562,90
57,9,1,-0.8399999999999999,0.8357142857142854,180
58,9,2,2.5200000000000005,-5.85,270
59,9,3,0.8400000000000007,5.85,360
60,10,0,-4.2,4.178571428571429,180
61,10,1,-0.8399999999999999,-0.8357142857142854,180
62,10,2,2.5200000000000005,-0.8357142857142854,270
63,10,3,-0.8399999999999999,-2.507142857142857,360
64,10,4,-4.2,5.85,360
65,10,5,4.2,2.5071428571428562,180
66,10,6,-0.8399999999999999,2.5071428571428562,270
67,10,7,2.5200000000000005,-2.507142857142857,360
68,11,0,2.5200000000000005,-0.8357142857142854,90
69,11,1,2.5200000000000005,2.5071428571428562,180
70,11,2,-0.8399999999999999,-2.507142857142857,270
71,11,3,0.8400000000000007,0.8357142857142854,360
