task_name	task_code	task_file	instruction_dur	start_time	end_time
action_observation	acva-acvk	action_observation_16.tsv	5	3	38
spatial_navigation	spatialnav	spatial_navigation_16.tsv	5	38	73
faux_pas	faux_pas	faux_pas_16.tsv	5	73	108
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_16.tsv	5	108	143
movie	mov	movie_16.tsv	5	143	178
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_16.tsv	5	178	213
rest	rest	rest_16.tsv	5	213	248
temp_deviant	temp_deviant	temp_deviant_16.tsv	5	248	283
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_16.tsv	5	283	318
verb_generation	vrbgn-wrdrd	verb_generation_16.tsv	5	318	353
tongue_movement	tongue	tongue_movement_16.tsv	5	353	388
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_16.tsv	5	388	431
