task_name	task_code	task_file	instruction_dur	start_time	end_time
action_observation	acva-acvk	action_observation_03.tsv	5	3	38
theory_of_mind_diff_reward	tom_diff_reward	theory_of_mind_diff_reward_03.tsv	5	38	73
movie	mov	movie_03.tsv	5	73	108
verb_generation	vrbgn-wrdrd	verb_generation_03.tsv	5	108	143
demand_grid_easy_diff	dmgrid_easy_diff	demand_grid_easy_diff_03.tsv	5	143	178
finger_sequence_surprise	fingseqsurp	finger_sequence_surprise_03.tsv	5	178	213
spatial_navigation	spatialnav	spatial_navigation_03.tsv	5	213	248
temp_deviant	temp_deviant	temp_deviant_03.tsv	5	248	283
rest	rest	rest_03.tsv	5	283	318
tongue_movement	tongue	tongue_movement_03.tsv	5	318	353
faux_pas	faux_pas	faux_pas_03.tsv	5	353	388
rest_surprise_sound_images	rest_surp_snd_img	rest_surprise_sound_images_03.tsv	5	388	423
visual_search	visrchsml	visual_search_03.tsv	5	423	466
